@mightex_spectrum_save,2,2,0
7/30/2018 4:01:00 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
10, 3.53722283949797E+0002, 6.22100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.22100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.48590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 3.53728993729382E+0002, 6.21570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.21570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.40990000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.80580000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 3.53735732856705E+0002, 6.20620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.20620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.43330000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77290000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 3.53742501333038E+0002, 6.23840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.23840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.48070000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75770000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 3.53749299159650E+0002, 6.18020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.18020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.45450000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 3.53756126337814E+0002, 6.17800000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.17800000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.40630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77170000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 3.53762982868800E+0002, 6.22840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.22840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.46380000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76460000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
17, 3.53769868753878E+0002, 6.22250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.22250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.46440000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
18, 3.53776783994319E+0002, 6.32570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.32570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.52680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.79890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
19, 3.53783728591394E+0002, 6.32580000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.32580000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.59830000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
20, 3.53790702546374E+0002, 6.32860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.32860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.61860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
