@mightex_spectrum_save,2,2,0
7/30/2018 12:41:27 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
10, 3.53722283949797E+0002, 1.48740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.48740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.21000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.42530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 3.53728993729382E+0002, 1.60400000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.60400000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.26200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.47780000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 3.53735732856705E+0002, 1.52730000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.52730000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.98999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.44740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 3.53742501333038E+0002, 1.55480000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.55480000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.38999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 3.53749299159650E+0002, 1.55020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.55020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.07200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.44300000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 3.53756126337814E+0002, 1.54430000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.54430000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.68999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.45740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 3.53762982868800E+0002, 1.59170000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.59170000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.04000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.48770000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
17, 3.53769868753878E+0002, 1.51490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.51490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.24000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.44250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
18, 3.53776783994319E+0002, 1.56370000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.56370000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.52000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.47850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
19, 3.53783728591394E+0002, 1.56000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.56000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.27200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.43280000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
