@mightex_spectrum_save,2,2,0
7/30/2018 3:24:41 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 3.53656800000000E+0002, 4.91140000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.91140000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.20350000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.70790000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 3.53663216372092E+0002, 4.84520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.84520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.12100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72420000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 3.53669662079214E+0002, 4.57690000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.57690000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.87200000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.70490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 3.53676137122638E+0002, 4.42090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.42090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.69200000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 3.53682641503635E+0002, 4.38400000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.38400000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.68590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.69810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 3.53689175223475E+0002, 4.36310000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.36310000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.62540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73770000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 3.53695738283428E+0002, 4.33810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.33810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.63860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.69950000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 3.53702330684766E+0002, 4.38090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.38090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.65210000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72880000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 3.53708952428760E+0002, 4.39640000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.39640000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.69600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.70040000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 3.53715603516680E+0002, 4.40050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.40050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.68940000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71110000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 3.53722283949797E+0002, 4.41270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.41270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.71430000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.69840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 3.53728993729382E+0002, 4.50160000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.50160000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.75740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74420000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 3.53735732856705E+0002, 4.43810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.43810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.71690000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72120000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 3.53742501333038E+0002, 4.41620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.41620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.69150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72470000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 3.53749299159650E+0002, 4.41630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.41630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.73720000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.67910000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 3.53756126337814E+0002, 4.43540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.43540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.71350000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72190000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 3.53762982868800E+0002, 4.42780000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.42780000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.69590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73190000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
17, 3.53769868753878E+0002, 4.43610000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.43610000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.73560000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.70050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
18, 3.53776783994319E+0002, 4.46810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.46810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.73580000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
19, 3.53783728591394E+0002, 4.44020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.44020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.74840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.69180000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
20, 3.53790702546374E+0002, 4.43870000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.43870000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.73520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.70350000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
21, 3.53797705860530E+0002, 4.50270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.50270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.77640000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
22, 3.53804738535132E+0002, 4.53440000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.53440000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.81560000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71880000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
23, 3.53811800571452E+0002, 4.54100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.54100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.79670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74430000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
24, 3.53818891970759E+0002, 4.52130000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.52130000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.83710000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.68420000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
25, 3.53826012734325E+0002, 4.52760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.52760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.83230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.69530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
26, 3.53833162863421E+0002, 4.59390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.59390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.83800000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
27, 3.53840342359316E+0002, 4.53610000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.53610000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.82510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
