@mightex_spectrum_save,2,2,0
7/30/2018 4:06:42 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 3.53656800000000E+0002, 5.54160000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.54160000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.76950000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77210000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 3.53663216372092E+0002, 5.51740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.51740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.76440000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75300000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 3.53669662079214E+0002, 5.23750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.23750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.50530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 3.53676137122638E+0002, 5.05680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.05680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.30230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75450000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 3.53682641503635E+0002, 4.93680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.93680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.17220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76460000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 3.53689175223475E+0002, 4.90840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.90840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.13340000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77500000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 3.53695738283428E+0002, 4.91510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.91510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.19540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 3.53702330684766E+0002, 4.96590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.96590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.21330000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75260000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 3.53708952428760E+0002, 4.97750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.97750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.25300000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72450000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 3.53715603516680E+0002, 5.01520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.01520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.26990000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 3.53722283949797E+0002, 5.04740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.04740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.29150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 3.53728993729382E+0002, 5.04270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.04270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.22800000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.81470000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 3.53735732856705E+0002, 5.02670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.02670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.28910000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 3.53742501333038E+0002, 5.00600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.00600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.26660000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73940000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 3.53749299159650E+0002, 5.02380000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.02380000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.25740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76640000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 3.53756126337814E+0002, 4.96760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.96760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.22910000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 3.53762982868800E+0002, 5.03000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.03000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.24220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.78780000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
17, 3.53769868753878E+0002, 4.99190000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.99190000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.25540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73650000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
18, 3.53776783994319E+0002, 5.04160000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.04160000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.24680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.79480000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
19, 3.53783728591394E+0002, 4.98760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.98760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.26940000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71820000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
20, 3.53790702546374E+0002, 5.00010000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.00010000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.27200000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
21, 3.53797705860530E+0002, 5.08250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.08250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.30320000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77930000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
22, 3.53804738535132E+0002, 5.04470000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.04470000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.29510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74960000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
23, 3.53811800571452E+0002, 5.12320000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.12320000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.34060000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.78260000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
24, 3.53818891970759E+0002, 5.06540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.06540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.33140000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73400000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
25, 3.53826012734325E+0002, 5.12280000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.12280000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.35430000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
26, 3.53833162863421E+0002, 5.10090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.10090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.32990000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
27, 3.53840342359316E+0002, 5.07480000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.07480000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.31720000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75760000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
