@mightex_spectrum_save,2,2,0
7/30/2018 4:04:49 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
10, 3.53722283949797E+0002, 5.77900000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.77900000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.00980000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 3.53728993729382E+0002, 5.79850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.79850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.99850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.80000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 3.53735732856705E+0002, 5.73970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.73970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.95900000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.78070000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 3.53742501333038E+0002, 5.75870000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.75870000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.01210000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74660000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 3.53749299159650E+0002, 5.82050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.82050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.07530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 3.53756126337814E+0002, 5.83490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.83490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.05570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 3.53762982868800E+0002, 5.82750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.82750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.04520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.78230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
17, 3.53769868753878E+0002, 5.83350000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.83350000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.07700000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75650000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
18, 3.53776783994319E+0002, 5.92920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.92920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.16580000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76340000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
19, 3.53783728591394E+0002, 5.93680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.93680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.20220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73460000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
20, 3.53790702546374E+0002, 5.88380000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.88380000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.14730000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73650000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
21, 3.53797705860530E+0002, 5.98130000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.98130000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.19010000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.79120000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
22, 3.53804738535132E+0002, 5.96270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.96270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.18370000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77900000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
23, 3.53811800571452E+0002, 6.01550000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.01550000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.23690000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
24, 3.53818891970759E+0002, 5.97330000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.97330000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.22960000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74370000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
25, 3.53826012734325E+0002, 5.99790000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.99790000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.23510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76280000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
26, 3.53833162863421E+0002, 6.03020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.03020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.23840000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.79180000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
27, 3.53840342359316E+0002, 5.96670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.96670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.23160000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
28, 3.53847551223283E+0002, 5.99730000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.99730000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.15190000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.84540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
29, 3.53854789456592E+0002, 5.94310000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.94310000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.18000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76310000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
30, 3.53862057060514E+0002, 6.06430000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.06430000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.26770000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.79660000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
